airfoil,flap_deflection_deg,cmu,veff_mps,reynolds,reynolds_inf,q_ratio,alpha_deg,cl_local,cd_local,cm_local,cl_equiv,cd_equiv,cm_equiv,cx_equiv,cl_wing_ref,cd_wing_ref,cm_wing_ref,cx_wing_ref
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,1.8000000000000007,1.251564110450236,0.02257921774808977,-0.24622621520684349,1.251564110450236,0.02257921774808977,-0.24622621520684349,-0.061880655011326405,1.2470904478095486,0.02249850929532083,-0.24534609008106592,-0.06165946524390342
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,2.0,1.2735830501971834,0.022941288243713692,-0.24616145536541298,1.2735830501971834,0.022941288243713692,-0.24616145536541298,-0.06737472049148621,1.2688703756648232,0.022856397961270824,-0.24525057733404337,-0.06712541195260768
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,2.200000000000001,1.2950371144064248,0.023318043092217702,-0.246010624824807,1.2950371144064248,0.023318043092217702,-0.246010624824807,-0.07301449325440458,1.2900835812779654,0.02322885128631252,-0.24506963111391925,-0.07273521190627183
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,2.4000000000000004,1.3158466171884253,0.023707033198295282,-0.24575785419699742,1.3158466171884253,0.023707033198295282,-0.24575785419699742,-0.07878817540444957,1.3106518187050606,0.02361344078524738,-0.24478763281132754,-0.07847712950536702
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,2.5999999999999996,1.3359435423548331,0.024104975673362065,-0.24539134821651845,1.3359435423548331,0.024104975673362065,-0.24539134821651845,-0.08468255233640534,1.330508487558102,0.024006908756980506,-0.24439301604010805,-0.08433803604684409
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,2.8000000000000007,1.3552794004201676,0.02450690894846322,-0.24490662281952075,1.3552794004201676,0.02450690894846322,-0.24490662281952075,-0.09068273778425474,1.3496063644881304,0.02440432598659964,-0.24388147326672868,-0.09030315079303648
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,3.0,1.3738426334406282,0.024904850488446453,-0.24431163051822286,1.3738426334406282,0.024904850488446453,-0.24431163051822286,-0.09677208720484895,1.3679347440944563,0.024797752996137443,-0.2432610254169168,-0.09635594144762161
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,3.200000000000001,1.39168342106763,0.025287326367808238,-0.24363047856164552,1.39168342106763,0.025287326367808238,-0.24363047856164552,-0.10293376050082363,1.3855438512511689,0.025175768449278393,-0.24255567497492203,-0.10247965650023068
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,3.4000000000000004,1.4089199465562214,0.025643742465232638,-0.24289562016528674,1.4089199465562214,0.025643742465232638,-0.24289562016528674,-0.10915653775490235,1.402550920550131,0.02552781986575936,-0.24179760993029822,-0.10866309536351945
s1210,0.0,0.0,4.0,94751.38121546962,94751.38121546962,1.0,3.6000000000000014,1.4257018225439986,0.025975189057313337,-0.24212511563685526,1.4257018225439986,0.025975189057313337,-0.24212511563685526,-0.1154444910866029,1.419104021925866,0.025854982212018963,-0.2410046196030045,-0.11491024211349571
